id,latitude,longitude,name,address,phone,open24h,hasbreakfast,hasdrivethru,delivery,weekdayopen,weekdayclose,weekendopen,weekendclose,linkname,diff/dLat,diff/dLng,diff/d
4115,5.391212,100.283077,Bandar Baru Farlim,"16D Lebuhraya Thean Tek Farlim Business Centre, 11060 Bandar Baru Farlim, Pulau Pinang",0193312493,true,true,false,true,12:00 am,12:00 am,12:00 am,12:00 am,bandar_baru_farlim,,,
4116,2.814565,101.797304,Bandar Baru Nilai,"Lot PT 12162 & 12163 Ground Floor, Jalan BBN 1/1F, Putra Point Phase 2B Bandar Baru Nilai, 71800 Nilai, Negeri Sembilan",0193383026,false,true,false,true,8:00 am,11:00 pm,8:00 am,11:00 pm,bandar_baru_nilai,,,
4117,3.203356,101.487257,Bandar Baru Saujana,"No 56G, Jalan 6/3 Jalan Bidara, 47000 Sg Buloh, Selangor",0193363591,false,true,false,false,8:00 am,11:00 pm,8:00 am,11:00 pm,bandar_baru_saujana,,,
4118,3.236087,101.671973,Bandar Baru Selayang,"36 Jalan 2/16, Bandar Baru Selayang, 68100 Batu Caves, Selangor, Selangor",0193373532,false,true,false,true,8:00 am,11:00 pm,8:00 am,11:00 pm,bandar_baru_selayang,,,
4119,6.244136,100.420048,Bandar Darul Aman Jaya Jitra,"No. 16, Bandar Darul Aman Jaya Jitra, 06000 Jitra, Kedah",0193315722,true,true,false,false,12:00 am,12:00 am,12:00 am,12:00 am,bandar_darul_aman_jaya_jitra,,,
4120,2.747165,101.763895,Bandar Enstek Nilai,"No. 21 & 22, Jalan Timur 6/1A@Enstek, 71760 Bandar Enstek Nilai, Negeri Sembilan",0193315718,false,false,false,false,10:30 am,11:00 pm,10:30 am,11:00 pm,bandar_enstek_nilai,,,
4121,3.069881,103.069518,Bandar Muadzam Shah,"Lot No 37 Blok C, Bandar Satelit Muadzam Shah, 26700 Kuantan, Pahang",0193359723,false,false,false,false,10:30 am,11:00 pm,10:30 am,11:00 pm,bandar_muadzam_shah,,,
4122,5.212467,100.613069,Bandar Serdang Kedah,"Lot No 23-A, Ground Floor, Jalan Bandar Raya Serdang, 09300 Bandar Baru, Kedah",0193315905,false,false,false,false,10:30 am,11:00 pm,10:30 am,11:00 pm,bandar_serdang_kedah,,,
4123,3.102273,101.712998,"Bandar Seri Permaisuri, Cheras","No.22A Jalan Dwitasek 1, Dataran Dwitasek, Bandar Seri Permaisuri, 56000 Kuala Lumpur",0193362344,false,true,false,false,8:00 am,11:00 pm,8:00 am,11:00 pm,bandar_seri_permaisuri_cheras,,,
4124,2.8850588,101.7917921,"Bandar Seri Putra, Bangi","B2, Ground & 1st Floor, Jalan Seri Putra 1/2, Bandar Seri Putra Bangi, 43000 Bangi, Selangor",0193376058,false,false,false,false,10:30 am,11:00 pm,10:30 am,11:00 pm,bandar_seri_putra_bangi,,,
